post_id,correctness_human,completeness_human,justification_human,actionability_human,clarity_human,overall_human
000d9644-e8b3-4cd7-a139-d80b11de25ca,4.0,3.0,3.0,2.0,4.0,4.0
0072016b-44dc-4f84-b7ee-686994fac18f,4.0,3.0,3.0,2.0,4.0,3.0
008bf73e-072e-4ead-902a-682ba489765c,4.0,3.0,3.5,3.5,4.0,4.0
00fb710b-5575-44e7-9eb3-e7b3631f0a10,3.0,2.0,3.0,3.0,4.0,3.0
024f1380-bac7-41b7-9610-b2dba12163c5,1.0,1.0,1.0,1.0,2.0,1.0
02abd007-e38d-4ea9-9505-82df143d935f,3.0,2.0,2.0,2.0,4.0,3.0
03171349-2d39-4b58-ba26-5a4da2f1b7b9,3.0,2.0,2.0,1.0,4.0,3.0
036e4350-c4bf-498f-b1f3-1d978db7c705,2.0,1.0,2.0,1.0,4.0,2.0
04770063-ad78-4e59-be02-492ccb213a86,3.0,2.0,3.0,1.0,4.0,3.0
051800fd-29cc-4ac2-b3da-28104745f7c1,1.0,1.0,1.0,1.0,3.0,1.0
0582ff36-e56d-4f6f-8118-bbab4e89de07,3.0,2.0,3.0,1.0,4.0,3.0
062deb9f-980c-4e2f-9999-e08908603126,4.0,3.0,4.0,2.0,4.0,4.0
06715939-89c7-4454-881c-768055bc8430,3.0,2.0,2.0,2.0,4.0,3.0
0721391b-79ed-4ee4-80af-af76ce49b30a,1.0,1.0,1.0,1.0,4.0,1.0
07b45248-34f2-4233-b133-c751e4198630,4.0,3.0,3.0,2.0,4.0,4.0
07dd56f1-7578-4915-b593-d9ed0401fc2d,4.0,4.0,3.0,3.0,4.0,4.0
0841be56-df49-46e5-ae5b-c51bc268dce8,2.0,1.0,1.5,1.0,3.0,2.0
08cf1762-dbda-469c-9428-a84a9e881fd2,1.0,1.0,1.0,1.0,2.0,1.0
09a2c9a2-9310-48bf-a99d-e322fd2a9f30,2.0,1.0,1.0,1.0,4.0,2.0
09fcf1bc-1bc4-4457-b325-39d78c4c97a5,3.0,2.0,3.0,2.0,4.0,3.0
0c166139-1eb8-4ca1-a747-1f5d5113f904,4.0,3.0,4.0,3.0,4.0,4.0
0d139901-2946-4b95-bbe4-b8c1be15ce5a,4.0,3.0,3.0,3.0,4.0,3.0
0d1e56c1-1b5e-417c-81d7-33deda6a4e07,4.0,3.0,3.0,3.0,4.0,4.0
0e779e6c-b2e6-4e66-8cf2-af9e785693de,4.0,4.0,4.0,4.0,4.0,4.0
0fb6d54b-4fe8-4e61-83e2-ed657934b745,5.0,4.0,4.0,3.0,5.0,4.0
0fc68781-052c-4020-b743-5e4431bba96c,2.0,1.0,1.0,1.0,4.0,2.0
107bff75-4fad-444d-a9ca-eaefc8859b56,3.0,3.0,3.0,2.0,4.0,3.0
10c21dea-39fd-4dd8-87b8-33167dff74a4,1.0,1.0,1.0,1.0,3.0,1.0
10fe9cb9-3c9c-4e47-a1ad-e5d061f87039,2.0,1.0,2.0,1.0,4.0,2.0
11590967-bd4e-4936-9995-6e9de77432a0,3.0,2.0,2.0,2.0,4.0,2.0
